Index,name,generation,attack,defense,hp,special_attack,special_defense,speed,type_1,type_2,url
1703,wobbuffet,2,33,58,190,33,58,33,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Wobbuffet_(Pok%C3%A9mon)
1704,wobbuffet,3,33,58,190,33,58,33,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Wobbuffet_(Pok%C3%A9mon)
1705,wobbuffet,4,33,58,190,33,58,33,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Wobbuffet_(Pok%C3%A9mon)
1706,wobbuffet,5,33,58,190,33,58,33,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Wobbuffet_(Pok%C3%A9mon)
1707,wobbuffet,6,33,58,190,33,58,33,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Wobbuffet_(Pok%C3%A9mon)
1708,wobbuffet,7,33,58,190,33,58,33,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Wobbuffet_(Pok%C3%A9mon)
1709,girafarig,2,80,65,70,90,65,85,normal,psychic,https://bulbapedia.bulbagarden.net/wiki/Girafarig_(Pok%C3%A9mon)
1710,girafarig,3,80,65,70,90,65,85,normal,psychic,https://bulbapedia.bulbagarden.net/wiki/Girafarig_(Pok%C3%A9mon)
1711,girafarig,4,80,65,70,90,65,85,normal,psychic,https://bulbapedia.bulbagarden.net/wiki/Girafarig_(Pok%C3%A9mon)
1712,girafarig,5,80,65,70,90,65,85,normal,psychic,https://bulbapedia.bulbagarden.net/wiki/Girafarig_(Pok%C3%A9mon)
1713,girafarig,6,80,65,70,90,65,85,normal,psychic,https://bulbapedia.bulbagarden.net/wiki/Girafarig_(Pok%C3%A9mon)
1714,girafarig,7,80,65,70,90,65,85,normal,psychic,https://bulbapedia.bulbagarden.net/wiki/Girafarig_(Pok%C3%A9mon)
1715,pineco,2,65,90,50,35,35,15,bug,null,https://bulbapedia.bulbagarden.net/wiki/Pineco_(Pok%C3%A9mon)
1716,pineco,3,65,90,50,35,35,15,bug,null,https://bulbapedia.bulbagarden.net/wiki/Pineco_(Pok%C3%A9mon)
1717,pineco,4,65,90,50,35,35,15,bug,null,https://bulbapedia.bulbagarden.net/wiki/Pineco_(Pok%C3%A9mon)
1718,pineco,5,65,90,50,35,35,15,bug,null,https://bulbapedia.bulbagarden.net/wiki/Pineco_(Pok%C3%A9mon)
1719,pineco,6,65,90,50,35,35,15,bug,null,https://bulbapedia.bulbagarden.net/wiki/Pineco_(Pok%C3%A9mon)
1720,pineco,7,65,90,50,35,35,15,bug,null,https://bulbapedia.bulbagarden.net/wiki/Pineco_(Pok%C3%A9mon)
1721,forretress,2,90,140,75,60,60,40,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Forretress_(Pok%C3%A9mon)
1722,forretress,3,90,140,75,60,60,40,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Forretress_(Pok%C3%A9mon)
1723,forretress,4,90,140,75,60,60,40,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Forretress_(Pok%C3%A9mon)
1724,forretress,5,90,140,75,60,60,40,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Forretress_(Pok%C3%A9mon)
1725,forretress,6,90,140,75,60,60,40,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Forretress_(Pok%C3%A9mon)
1726,forretress,7,90,140,75,60,60,40,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Forretress_(Pok%C3%A9mon)
1727,dunsparce,2,70,70,100,65,65,45,normal,null,https://bulbapedia.bulbagarden.net/wiki/Dunsparce_(Pok%C3%A9mon)
1728,dunsparce,3,70,70,100,65,65,45,normal,null,https://bulbapedia.bulbagarden.net/wiki/Dunsparce_(Pok%C3%A9mon)
1729,dunsparce,4,70,70,100,65,65,45,normal,null,https://bulbapedia.bulbagarden.net/wiki/Dunsparce_(Pok%C3%A9mon)
1730,dunsparce,5,70,70,100,65,65,45,normal,null,https://bulbapedia.bulbagarden.net/wiki/Dunsparce_(Pok%C3%A9mon)
1731,dunsparce,6,70,70,100,65,65,45,normal,null,https://bulbapedia.bulbagarden.net/wiki/Dunsparce_(Pok%C3%A9mon)
1732,dunsparce,7,70,70,100,65,65,45,normal,null,https://bulbapedia.bulbagarden.net/wiki/Dunsparce_(Pok%C3%A9mon)
1733,gligar,2,75,105,65,35,65,85,ground,flying,https://bulbapedia.bulbagarden.net/wiki/Gligar_(Pok%C3%A9mon)
1734,gligar,3,75,105,65,35,65,85,ground,flying,https://bulbapedia.bulbagarden.net/wiki/Gligar_(Pok%C3%A9mon)
1735,gligar,4,75,105,65,35,65,85,ground,flying,https://bulbapedia.bulbagarden.net/wiki/Gligar_(Pok%C3%A9mon)
1736,gligar,5,75,105,65,35,65,85,ground,flying,https://bulbapedia.bulbagarden.net/wiki/Gligar_(Pok%C3%A9mon)
1737,gligar,6,75,105,65,35,65,85,ground,flying,https://bulbapedia.bulbagarden.net/wiki/Gligar_(Pok%C3%A9mon)
1738,gligar,7,75,105,65,35,65,85,ground,flying,https://bulbapedia.bulbagarden.net/wiki/Gligar_(Pok%C3%A9mon)
1739,steelix,2,85,200,75,55,65,30,steel,ground,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)
1740,steelix,3,85,200,75,55,65,30,steel,ground,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)
1741,steelix,4,85,200,75,55,65,30,steel,ground,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)
1742,steelix,5,85,200,75,55,65,30,steel,ground,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)
1743,steelix,6,85,200,75,55,65,30,steel,ground,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)
1744,steelix,7,85,200,75,55,65,30,steel,ground,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)
1745,steelix (mega steelix),2,125,230,75,55,95,30,steel,ground,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)
1746,steelix (mega steelix),3,125,230,75,55,95,30,steel,ground,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)
1747,steelix (mega steelix),4,125,230,75,55,95,30,steel,ground,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)
1748,steelix (mega steelix),5,125,230,75,55,95,30,steel,ground,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)
1749,steelix (mega steelix),6,125,230,75,55,95,30,steel,ground,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)
1750,steelix (mega steelix),7,125,230,75,55,95,30,steel,ground,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)
1751,snubbull,2,80,50,60,40,40,30,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Snubbull_(Pok%C3%A9mon)
1752,snubbull,3,80,50,60,40,40,30,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Snubbull_(Pok%C3%A9mon)
1753,snubbull,4,80,50,60,40,40,30,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Snubbull_(Pok%C3%A9mon)
1754,snubbull,5,80,50,60,40,40,30,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Snubbull_(Pok%C3%A9mon)
1755,snubbull,6,80,50,60,40,40,30,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Snubbull_(Pok%C3%A9mon)
1756,snubbull,7,80,50,60,40,40,30,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Snubbull_(Pok%C3%A9mon)
1757,granbull,2,120,75,90,60,60,45,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Granbull_(Pok%C3%A9mon)
1758,granbull,3,120,75,90,60,60,45,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Granbull_(Pok%C3%A9mon)
1759,granbull,4,120,75,90,60,60,45,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Granbull_(Pok%C3%A9mon)
1760,granbull,5,120,75,90,60,60,45,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Granbull_(Pok%C3%A9mon)
1761,granbull,6,120,75,90,60,60,45,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Granbull_(Pok%C3%A9mon)
1762,granbull,7,120,75,90,60,60,45,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Granbull_(Pok%C3%A9mon)
1763,qwilfish,2,95,85,65,55,55,85,water,poison,https://bulbapedia.bulbagarden.net/wiki/Qwilfish_(Pok%C3%A9mon)
1764,qwilfish,3,95,85,65,55,55,85,water,poison,https://bulbapedia.bulbagarden.net/wiki/Qwilfish_(Pok%C3%A9mon)
1765,qwilfish,4,95,85,65,55,55,85,water,poison,https://bulbapedia.bulbagarden.net/wiki/Qwilfish_(Pok%C3%A9mon)
1766,qwilfish,5,95,85,65,55,55,85,water,poison,https://bulbapedia.bulbagarden.net/wiki/Qwilfish_(Pok%C3%A9mon)
1767,qwilfish,6,95,85,65,55,55,85,water,poison,https://bulbapedia.bulbagarden.net/wiki/Qwilfish_(Pok%C3%A9mon)
1768,qwilfish,7,95,85,65,55,55,85,water,poison,https://bulbapedia.bulbagarden.net/wiki/Qwilfish_(Pok%C3%A9mon)
1769,scizor,2,130,100,70,55,80,65,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon)
1770,scizor,3,130,100,70,55,80,65,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon)
1771,scizor,4,130,100,70,55,80,65,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon)
1772,scizor,5,130,100,70,55,80,65,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon)
1773,scizor,6,130,100,70,55,80,65,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon)
1774,scizor,7,130,100,70,55,80,65,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon)
1775,scizor (mega scizor),2,150,140,70,65,100,75,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon)
1776,scizor (mega scizor),3,150,140,70,65,100,75,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon)
1777,scizor (mega scizor),4,150,140,70,65,100,75,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon)
1778,scizor (mega scizor),5,150,140,70,65,100,75,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon)
1779,scizor (mega scizor),6,150,140,70,65,100,75,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon)
1780,scizor (mega scizor),7,150,140,70,65,100,75,bug,steel,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon)
1781,shuckle,2,10,230,20,10,230,5,bug,rock,https://bulbapedia.bulbagarden.net/wiki/Shuckle_(Pok%C3%A9mon)
1782,shuckle,3,10,230,20,10,230,5,bug,rock,https://bulbapedia.bulbagarden.net/wiki/Shuckle_(Pok%C3%A9mon)
1783,shuckle,4,10,230,20,10,230,5,bug,rock,https://bulbapedia.bulbagarden.net/wiki/Shuckle_(Pok%C3%A9mon)
1784,shuckle,5,10,230,20,10,230,5,bug,rock,https://bulbapedia.bulbagarden.net/wiki/Shuckle_(Pok%C3%A9mon)
1785,shuckle,6,10,230,20,10,230,5,bug,rock,https://bulbapedia.bulbagarden.net/wiki/Shuckle_(Pok%C3%A9mon)
1786,shuckle,7,10,230,20,10,230,5,bug,rock,https://bulbapedia.bulbagarden.net/wiki/Shuckle_(Pok%C3%A9mon)
1787,heracross,2,125,75,80,40,95,85,bug,fighting,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)
1788,heracross,3,125,75,80,40,95,85,bug,fighting,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)
1789,heracross,4,125,75,80,40,95,85,bug,fighting,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)
1790,heracross,5,125,75,80,40,95,85,bug,fighting,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)
1791,heracross,6,125,75,80,40,95,85,bug,fighting,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)
1792,heracross,7,125,75,80,40,95,85,bug,fighting,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)
1793,heracross (mega heracross),2,185,115,80,40,105,75,bug,fighting,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)
1794,heracross (mega heracross),3,185,115,80,40,105,75,bug,fighting,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)
1795,heracross (mega heracross),4,185,115,80,40,105,75,bug,fighting,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)
1796,heracross (mega heracross),5,185,115,80,40,105,75,bug,fighting,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)
1797,heracross (mega heracross),6,185,115,80,40,105,75,bug,fighting,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)
1798,heracross (mega heracross),7,185,115,80,40,105,75,bug,fighting,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)
1799,sneasel,2,95,55,55,35,75,115,dark,ice,https://bulbapedia.bulbagarden.net/wiki/Sneasel_(Pok%C3%A9mon)
1800,sneasel,3,95,55,55,35,75,115,dark,ice,https://bulbapedia.bulbagarden.net/wiki/Sneasel_(Pok%C3%A9mon)
1801,sneasel,4,95,55,55,35,75,115,dark,ice,https://bulbapedia.bulbagarden.net/wiki/Sneasel_(Pok%C3%A9mon)
1802,sneasel,5,95,55,55,35,75,115,dark,ice,https://bulbapedia.bulbagarden.net/wiki/Sneasel_(Pok%C3%A9mon)
1803,sneasel,6,95,55,55,35,75,115,dark,ice,https://bulbapedia.bulbagarden.net/wiki/Sneasel_(Pok%C3%A9mon)
1804,sneasel,7,95,55,55,35,75,115,dark,ice,https://bulbapedia.bulbagarden.net/wiki/Sneasel_(Pok%C3%A9mon)
1805,teddiursa,2,80,50,60,50,50,40,normal,null,https://bulbapedia.bulbagarden.net/wiki/Teddiursa_(Pok%C3%A9mon)
1806,teddiursa,3,80,50,60,50,50,40,normal,null,https://bulbapedia.bulbagarden.net/wiki/Teddiursa_(Pok%C3%A9mon)
1807,teddiursa,4,80,50,60,50,50,40,normal,null,https://bulbapedia.bulbagarden.net/wiki/Teddiursa_(Pok%C3%A9mon)
1808,teddiursa,5,80,50,60,50,50,40,normal,null,https://bulbapedia.bulbagarden.net/wiki/Teddiursa_(Pok%C3%A9mon)
1809,teddiursa,6,80,50,60,50,50,40,normal,null,https://bulbapedia.bulbagarden.net/wiki/Teddiursa_(Pok%C3%A9mon)
1810,teddiursa,7,80,50,60,50,50,40,normal,null,https://bulbapedia.bulbagarden.net/wiki/Teddiursa_(Pok%C3%A9mon)
1811,ursaring,2,130,75,90,75,75,55,normal,null,https://bulbapedia.bulbagarden.net/wiki/Ursaring_(Pok%C3%A9mon)
1812,ursaring,3,130,75,90,75,75,55,normal,null,https://bulbapedia.bulbagarden.net/wiki/Ursaring_(Pok%C3%A9mon)
1813,ursaring,4,130,75,90,75,75,55,normal,null,https://bulbapedia.bulbagarden.net/wiki/Ursaring_(Pok%C3%A9mon)
1814,ursaring,5,130,75,90,75,75,55,normal,null,https://bulbapedia.bulbagarden.net/wiki/Ursaring_(Pok%C3%A9mon)
1815,ursaring,6,130,75,90,75,75,55,normal,null,https://bulbapedia.bulbagarden.net/wiki/Ursaring_(Pok%C3%A9mon)
1816,ursaring,7,130,75,90,75,75,55,normal,null,https://bulbapedia.bulbagarden.net/wiki/Ursaring_(Pok%C3%A9mon)
1817,slugma,2,40,40,40,70,40,20,fire,null,https://bulbapedia.bulbagarden.net/wiki/Slugma_(Pok%C3%A9mon)
1818,slugma,3,40,40,40,70,40,20,fire,null,https://bulbapedia.bulbagarden.net/wiki/Slugma_(Pok%C3%A9mon)
1819,slugma,4,40,40,40,70,40,20,fire,null,https://bulbapedia.bulbagarden.net/wiki/Slugma_(Pok%C3%A9mon)
1820,slugma,5,40,40,40,70,40,20,fire,null,https://bulbapedia.bulbagarden.net/wiki/Slugma_(Pok%C3%A9mon)
1821,slugma,6,40,40,40,70,40,20,fire,null,https://bulbapedia.bulbagarden.net/wiki/Slugma_(Pok%C3%A9mon)
1822,slugma,7,40,40,40,70,40,20,fire,null,https://bulbapedia.bulbagarden.net/wiki/Slugma_(Pok%C3%A9mon)
1823,magcargo,2,50,120,60,90,80,30,fire,rock,https://bulbapedia.bulbagarden.net/wiki/Magcargo_(Pok%C3%A9mon)
1824,magcargo,3,50,120,60,90,80,30,fire,rock,https://bulbapedia.bulbagarden.net/wiki/Magcargo_(Pok%C3%A9mon)
1825,magcargo,4,50,120,60,90,80,30,fire,rock,https://bulbapedia.bulbagarden.net/wiki/Magcargo_(Pok%C3%A9mon)
1826,magcargo,5,50,120,60,90,80,30,fire,rock,https://bulbapedia.bulbagarden.net/wiki/Magcargo_(Pok%C3%A9mon)
1827,magcargo,6,50,120,60,90,80,30,fire,rock,https://bulbapedia.bulbagarden.net/wiki/Magcargo_(Pok%C3%A9mon)
1828,magcargo,7,50,120,60,90,80,30,fire,rock,https://bulbapedia.bulbagarden.net/wiki/Magcargo_(Pok%C3%A9mon)
1829,swinub,2,50,40,50,30,30,50,ice,ground,https://bulbapedia.bulbagarden.net/wiki/Swinub_(Pok%C3%A9mon)
1830,swinub,3,50,40,50,30,30,50,ice,ground,https://bulbapedia.bulbagarden.net/wiki/Swinub_(Pok%C3%A9mon)
1831,swinub,4,50,40,50,30,30,50,ice,ground,https://bulbapedia.bulbagarden.net/wiki/Swinub_(Pok%C3%A9mon)
1832,swinub,5,50,40,50,30,30,50,ice,ground,https://bulbapedia.bulbagarden.net/wiki/Swinub_(Pok%C3%A9mon)
1833,swinub,6,50,40,50,30,30,50,ice,ground,https://bulbapedia.bulbagarden.net/wiki/Swinub_(Pok%C3%A9mon)
1834,swinub,7,50,40,50,30,30,50,ice,ground,https://bulbapedia.bulbagarden.net/wiki/Swinub_(Pok%C3%A9mon)
1835,piloswine,2,100,80,100,60,60,50,ice,ground,https://bulbapedia.bulbagarden.net/wiki/Piloswine_(Pok%C3%A9mon)
1836,piloswine,3,100,80,100,60,60,50,ice,ground,https://bulbapedia.bulbagarden.net/wiki/Piloswine_(Pok%C3%A9mon)
1837,piloswine,4,100,80,100,60,60,50,ice,ground,https://bulbapedia.bulbagarden.net/wiki/Piloswine_(Pok%C3%A9mon)
1838,piloswine,5,100,80,100,60,60,50,ice,ground,https://bulbapedia.bulbagarden.net/wiki/Piloswine_(Pok%C3%A9mon)
1839,piloswine,6,100,80,100,60,60,50,ice,ground,https://bulbapedia.bulbagarden.net/wiki/Piloswine_(Pok%C3%A9mon)
1840,piloswine,7,100,80,100,60,60,50,ice,ground,https://bulbapedia.bulbagarden.net/wiki/Piloswine_(Pok%C3%A9mon)
1841,corsola,2,55,95,65,65,95,35,water,rock,https://bulbapedia.bulbagarden.net/wiki/Corsola_(Pok%C3%A9mon)
1842,corsola,3,55,95,65,65,95,35,water,rock,https://bulbapedia.bulbagarden.net/wiki/Corsola_(Pok%C3%A9mon)
1843,corsola,4,55,95,65,65,95,35,water,rock,https://bulbapedia.bulbagarden.net/wiki/Corsola_(Pok%C3%A9mon)
1844,corsola,5,55,95,65,65,95,35,water,rock,https://bulbapedia.bulbagarden.net/wiki/Corsola_(Pok%C3%A9mon)
1845,corsola,6,55,95,65,65,95,35,water,rock,https://bulbapedia.bulbagarden.net/wiki/Corsola_(Pok%C3%A9mon)
1846,corsola,7,55,95,65,65,95,35,water,rock,https://bulbapedia.bulbagarden.net/wiki/Corsola_(Pok%C3%A9mon)
1847,remoraid,2,65,35,35,65,35,65,water,null,https://bulbapedia.bulbagarden.net/wiki/Remoraid_(Pok%C3%A9mon)
1848,remoraid,3,65,35,35,65,35,65,water,null,https://bulbapedia.bulbagarden.net/wiki/Remoraid_(Pok%C3%A9mon)
1849,remoraid,4,65,35,35,65,35,65,water,null,https://bulbapedia.bulbagarden.net/wiki/Remoraid_(Pok%C3%A9mon)
1850,remoraid,5,65,35,35,65,35,65,water,null,https://bulbapedia.bulbagarden.net/wiki/Remoraid_(Pok%C3%A9mon)
1851,remoraid,6,65,35,35,65,35,65,water,null,https://bulbapedia.bulbagarden.net/wiki/Remoraid_(Pok%C3%A9mon)
1852,remoraid,7,65,35,35,65,35,65,water,null,https://bulbapedia.bulbagarden.net/wiki/Remoraid_(Pok%C3%A9mon)
1853,octillery,2,105,75,75,105,75,45,water,null,https://bulbapedia.bulbagarden.net/wiki/Octillery_(Pok%C3%A9mon)
1854,octillery,3,105,75,75,105,75,45,water,null,https://bulbapedia.bulbagarden.net/wiki/Octillery_(Pok%C3%A9mon)
1855,octillery,4,105,75,75,105,75,45,water,null,https://bulbapedia.bulbagarden.net/wiki/Octillery_(Pok%C3%A9mon)
1856,octillery,5,105,75,75,105,75,45,water,null,https://bulbapedia.bulbagarden.net/wiki/Octillery_(Pok%C3%A9mon)
1857,octillery,6,105,75,75,105,75,45,water,null,https://bulbapedia.bulbagarden.net/wiki/Octillery_(Pok%C3%A9mon)
1858,octillery,7,105,75,75,105,75,45,water,null,https://bulbapedia.bulbagarden.net/wiki/Octillery_(Pok%C3%A9mon)
1859,delibird,2,55,45,45,65,45,75,ice,flying,https://bulbapedia.bulbagarden.net/wiki/Delibird_(Pok%C3%A9mon)
1860,delibird,3,55,45,45,65,45,75,ice,flying,https://bulbapedia.bulbagarden.net/wiki/Delibird_(Pok%C3%A9mon)
1861,delibird,4,55,45,45,65,45,75,ice,flying,https://bulbapedia.bulbagarden.net/wiki/Delibird_(Pok%C3%A9mon)
1862,delibird,5,55,45,45,65,45,75,ice,flying,https://bulbapedia.bulbagarden.net/wiki/Delibird_(Pok%C3%A9mon)
1863,delibird,6,55,45,45,65,45,75,ice,flying,https://bulbapedia.bulbagarden.net/wiki/Delibird_(Pok%C3%A9mon)
1864,delibird,7,55,45,45,65,45,75,ice,flying,https://bulbapedia.bulbagarden.net/wiki/Delibird_(Pok%C3%A9mon)
1865,mantine,2,40,70,85,80,140,70,water,flying,https://bulbapedia.bulbagarden.net/wiki/Mantine_(Pok%C3%A9mon)
1866,mantine,3,40,70,85,80,140,70,water,flying,https://bulbapedia.bulbagarden.net/wiki/Mantine_(Pok%C3%A9mon)
1867,mantine,4,40,70,85,80,140,70,water,flying,https://bulbapedia.bulbagarden.net/wiki/Mantine_(Pok%C3%A9mon)
1868,mantine,5,40,70,85,80,140,70,water,flying,https://bulbapedia.bulbagarden.net/wiki/Mantine_(Pok%C3%A9mon)
1869,mantine,6,40,70,85,80,140,70,water,flying,https://bulbapedia.bulbagarden.net/wiki/Mantine_(Pok%C3%A9mon)
1870,mantine,7,40,70,85,80,140,70,water,flying,https://bulbapedia.bulbagarden.net/wiki/Mantine_(Pok%C3%A9mon)
1871,skarmory,2,80,140,65,40,70,70,steel,flying,https://bulbapedia.bulbagarden.net/wiki/Skarmory_(Pok%C3%A9mon)
1872,skarmory,3,80,140,65,40,70,70,steel,flying,https://bulbapedia.bulbagarden.net/wiki/Skarmory_(Pok%C3%A9mon)
1873,skarmory,4,80,140,65,40,70,70,steel,flying,https://bulbapedia.bulbagarden.net/wiki/Skarmory_(Pok%C3%A9mon)
1874,skarmory,5,80,140,65,40,70,70,steel,flying,https://bulbapedia.bulbagarden.net/wiki/Skarmory_(Pok%C3%A9mon)
1875,skarmory,6,80,140,65,40,70,70,steel,flying,https://bulbapedia.bulbagarden.net/wiki/Skarmory_(Pok%C3%A9mon)
1876,skarmory,7,80,140,65,40,70,70,steel,flying,https://bulbapedia.bulbagarden.net/wiki/Skarmory_(Pok%C3%A9mon)
1877,houndour,2,60,30,45,80,50,65,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndour_(Pok%C3%A9mon)
1878,houndour,3,60,30,45,80,50,65,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndour_(Pok%C3%A9mon)
1879,houndour,4,60,30,45,80,50,65,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndour_(Pok%C3%A9mon)
1880,houndour,5,60,30,45,80,50,65,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndour_(Pok%C3%A9mon)
1881,houndour,6,60,30,45,80,50,65,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndour_(Pok%C3%A9mon)
1882,houndour,7,60,30,45,80,50,65,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndour_(Pok%C3%A9mon)
1883,houndoom,2,90,50,75,110,80,95,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)
1884,houndoom,3,90,50,75,110,80,95,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)
1885,houndoom,4,90,50,75,110,80,95,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)
1886,houndoom,5,90,50,75,110,80,95,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)
1887,houndoom,6,90,50,75,110,80,95,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)
1888,houndoom,7,90,50,75,110,80,95,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)
1889,houndoom (mega houndoom),2,90,90,75,140,90,115,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)
1890,houndoom (mega houndoom),3,90,90,75,140,90,115,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)
1891,houndoom (mega houndoom),4,90,90,75,140,90,115,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)
1892,houndoom (mega houndoom),5,90,90,75,140,90,115,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)
1893,houndoom (mega houndoom),6,90,90,75,140,90,115,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)
1894,houndoom (mega houndoom),7,90,90,75,140,90,115,dark,fire,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)
1895,kingdra,2,95,95,75,95,95,85,water,dragon,https://bulbapedia.bulbagarden.net/wiki/Kingdra_(Pok%C3%A9mon)
1896,kingdra,3,95,95,75,95,95,85,water,dragon,https://bulbapedia.bulbagarden.net/wiki/Kingdra_(Pok%C3%A9mon)
1897,kingdra,4,95,95,75,95,95,85,water,dragon,https://bulbapedia.bulbagarden.net/wiki/Kingdra_(Pok%C3%A9mon)
1898,kingdra,5,95,95,75,95,95,85,water,dragon,https://bulbapedia.bulbagarden.net/wiki/Kingdra_(Pok%C3%A9mon)
1899,kingdra,6,95,95,75,95,95,85,water,dragon,https://bulbapedia.bulbagarden.net/wiki/Kingdra_(Pok%C3%A9mon)
1900,kingdra,7,95,95,75,95,95,85,water,dragon,https://bulbapedia.bulbagarden.net/wiki/Kingdra_(Pok%C3%A9mon)
1901,phanpy,2,60,60,90,40,40,40,ground,null,https://bulbapedia.bulbagarden.net/wiki/Phanpy_(Pok%C3%A9mon)
1902,phanpy,3,60,60,90,40,40,40,ground,null,https://bulbapedia.bulbagarden.net/wiki/Phanpy_(Pok%C3%A9mon)
